Etunimi;Lukumäärä
Juhani;275071
Olavi;137393
Tapani;133098
Antero;131502
Johannes;130996
Tapio;112447
Mikael;106442
Kalevi;87082
Matti;75079
Pekka;74711
Petteri;73354
Ilmari;68555
Matias;64817
Sakari;62874
Kristian;54451
Antti;54188
Juha;52552
Heikki;48412
Timo;46800
Mikko;44156
Markus;43261
Kari;42014
Aleksi;40844
Jari;39479
Jukka;38496
Oskari;38352
Petri;36350
Jaakko;36256
Markku;36253
Mika;36029
Henrik;35638
Kalervo;34816
Lauri;34243
Ville;33240
Veikko;32054
Hannu;31860
Valtteri;31230
Janne;29741
Seppo;29234
Marko;29216
Erkki;29133
Elias;29047
Ari;28781
Tuomas;27970
Sami;27656
Ensio;27334
Juho;26653
Onni;25735
Erik;25045
Eemeli;24384
Jani;23942
Eero;23876
Samuli;23202
Pentti;23050
Martti;22226
Jussi;22015
Eino;21868
Teemu;21582
Samuel;21387
Harri;21137
Oliver;21031
Jorma;20188
Viljami;20127
Emil;19725
Risto;19523
Jarmo;19302
Veli;18995
Pasi;18831
Esa;18730
Leo;18630
Niko;18618
Jouni;18399
Toivo;18374
Joonas;18243
Olli;17938
Arto;17902
Kalle;17638
Toni;17460
Vesa;17363
Pertti;17279
Raimo;17113
Santeri;16668
Armas;16558
Johan;16501
Väinö;16413
Daniel;16328
Esko;16155
Jouko;16136
Tomi;16004
Alexander;15985
Eetu;15912
Paavo;15764
Henri;15650
Kimmo;15641
Joni;15300
Reijo;15292
Sebastian;15261
Tommi;14931
Eemil;14862
Tero;14704
Anton;14553
Otto;14544
Ilari;13754
Ilkka;13728
Aleksanteri;13595
Pauli;12838
Benjamin;12826
Joona;12453
Jesse;12425
Jarkko;12346
Akseli;12343
Jalmari;12114
Tuomo;11948
Julius;11786
Joel;11550
Uolevi;11433
Vilho;11233
Leevi;11165
Arttu;11028
Jere;10883
Juuso;10764
Aulis;10755
Christian;10620
Niilo;10605
Niklas;10500
Elmeri;10083
Allan;10082
Simo;10072
Aukusti;9843
Einari;9721
Lasse;9655
Jan;9614
Jyrki;9498
Rasmus;9229
Aatos;9181
Artturi;9102
Kullervo;9087
Keijo;8951
Kai;8948
Kaarlo;8898
Veeti;8884
Juhana;8846
Topias;8834
Miika;8795
Aki;8737
Mauri;8651
Aarne;8618
Riku;8561
Reino;8511
Hermanni;8248
Karl;8172
Joonatan;8168
Peter;8084
Kauko;8011
Jarno;7841
Aaro;7815
Eerik;7759
Aaron;7652
Robert;7452
Eelis;7425
Patrik;7418
Vilhelm;7142
Kasper;7058
Roope;7049
Viljo;7002
Yrjö;6989
Aapo;6962
Ossi;6954
Atte;6824
Anssi;6756
Rauno;6690
Oiva;6688
Miro;6660
Alvar;6648
Valdemar;6597
Anders;6588
Oskar;6552
Henry;6500
Ismo;6475
Arvo;6467
Alex;6442
Teuvo;6393
Eeli;6266
Samu;6247
Tauno;6195
Taneli;6110
Rainer;6103
Verneri;6065
Veijo;6030
Osmo;6025
Hugo;5912
Taisto;5900
August;5876
Rafael;5870
Tuukka;5848
Asko;5788
Lassi;5771
Henrikki;5730
Andreas;5710
Iisakki;5696
Kasperi;5676
Vili;5674
Edvard;5615
Urho;5606
Aatu;5566
Max;5551
Kim;5540
Wilhelm;5525
Konsta;5513
Topi;5445
Aarre;5443
Albert;5414
Aimo;5406
Sulo;5321
Vihtori;5287
William;5277
Ahti;5265
Jimi;5237
Mauno;5156
Joakim;5144
Lars;5102
Veikka;5054
Miikka;5026
Otso;5018
Fredrik;4999
Nikolai;4977
Roni;4929
Iivari;4920
Noel;4906
Michael;4789
Kustaa;4774
Lenni;4733
Tatu;4695
Carl;4628
Tarmo;4595
Herman;4558
Saku;4449
Jyri;4438
Gabriel;4413
Severi;4390
Frans;4326
Ilpo;4314
Unto;4297
Alpo;4272
Gustav;4260
Sauli;4254
Pyry;4245
Tom;4223
Edvin;4216
Luka;4183
Oscar;4181
Nooa;4105
Thomas;4078
Kaj;4065
Axel;4057
Rikhard;4011
Martin;3991
Iiro;3988
Eliel;3966
John;3957
Veli-Matti;3870
Kyösti;3859
Jeremias;3842
Luukas;3797
Gunnar;3787
Viktor;3780
Miska;3733
Rami;3732
Aarni;3714
Hans;3680
Jonne;3649
Lucas;3636
Jasper;3628
Ali;3611
Pietari;3582
Hannes;3563
Sampo;3546
Arvi;3507
Jami;3497
Voitto;3478
Aleksander;3411
Paul;3340
Heimo;3331
Robin;3324
Stefan;3308
Lukas;3293
Juha-Pekka;3265
Nico;3260
Aku;3258
Tomas;3248
Miko;3197
Sisu;3180
Teppo;3177
Pellervo;3122
Arvid;3120
Nils;3096
Olof;3080
Harry;3078
Leif;3053
Alfred;3042
Mohamed;3038
Anselmi;3032
Nuutti;3028
Tony;2977
Jukka-Pekka;2965
Peetu;2939
Perttu;2917
Santtu;2893
Göran;2890
Eevert;2884
Jonas;2848
Nestori;2837
Richard;2823
Veli-Pekka;2665
Krister;2656
Jooa;2640
Eljas;2608
Magnus;2605
Jesper;2604
Jonathan;2604
Marcus;2581
Eemi;2567
Kaapo;2559
Mathias;2558
Viljam;2553
Päiviö;2551
Patrick;2517
Felix;2516
Panu;2514
Ukko;2504
Klaus;2479
Paavali;2473
Christer;2470
Waltteri;2470
Luca;2469
Justus;2456
Aapeli;2444
Aarno;2429
Milo;2406
Eerikki;2395
Untamo;2394
Ahmed;2393
Ossian;2357
