Etunimi;Lukumäärä
Maria;198862
Helena;118691
Anneli;114429
Johanna;111640
Kaarina;90548
Hannele;85133
Marjatta;78341
Kristiina;75191
Emilia;71374
Sofia;64973
Elina;63584
Liisa;60831
Maarit;57124
Susanna;56764
Tuulikki;55542
Annikki;48671
Katariina;48174
Leena;45648
Anna;45520
Marja;42211
Sinikka;39487
Inkeri;38485
Riitta;36976
Aino;36486
Anne;34595
Päivi;33107
Tuula;32916
Karoliina;30934
Pauliina;29995
Kyllikki;29935
Orvokki;29793
Maija;29539
Minna;29441
Sari;28997
Eveliina;28574
Ritva;28433
Pirjo;28364
Tellervo;28219
Irmeli;27384
Tiina;27324
Laura;26630
Marika;26482
Elisabet;25467
Tarja;25370
Eeva;25203
Aurora;25161
Satu;24771
Ilona;24501
Olivia;24401
Mari;24388
Amanda;24328
Hanna;24022
Heidi;23678
Annika;23647
Matilda;22917
Jaana;22613
Julia;22415
Marita;22396
Sanna;22324
Sirpa;22233
Pirkko;21774
Seija;21538
Irene;21533
Kirsi;21451
Marianne;21251
Linnea;21096
Eija;21044
Elisabeth;20998
Anita;20845
Katriina;20808
Raija;20495
Merja;20406
Sisko;20406
Tuulia;20046
Anja;19874
Anni;19871
Helmi;19791
Marjaana;19599
Elisa;19218
Kaisa;19037
Arja;19010
Marketta;18683
Eila;18679
Paula;18597
Ulla;18490
Emma;18061
Jenni;17954
Iida;17577
Katja;16986
Heli;16246
Nina;15936
Terttu;15750
Maaria;15472
Sirkka;15462
Anniina;15367
Mirjami;15290
Ella;15167
Aleksandra;15091
Sara;15088
Ida;14594
Alexandra;14571
Birgitta;14335
Suvi;14008
Mirja;13925
Kirsti;13699
Katri;13671
Riikka;13445
Anu;13318
Marjut;13237
Ellen;12979
Hilkka;12840
Tuija;12681
Saara;12325
Niina;12321
Kaija;12301
Raili;12256
Pia;12187
Noora;11908
Kristina;11866
Kerttu;11836
Alina;11729
Lotta;11706
Jenna;11582
Veera;11517
Marjo;11497
Tanja;11471
Henna;11307
Lea;11269
Aila;11025
Kati;10975
Aada;10896
Elsa;10757
Elli;10722
Leila;10686
Venla;10646
Marja-Leena;10620
Aulikki;10236
Milla;10198
Irma;10160
Emmi;10098
Margareta;10091
Outi;9993
Maritta;9967
