Sukunimi;Yhteensä
Korhonen;21419
Virtanen;20691
Mäkinen;19140
Nieminen;18915
Mäkelä;18278
Hämäläinen;17415
Laine;17282
Heikkinen;16826
Koskinen;16386
Järvinen;15271
Lehtonen;15105
Lehtinen;14312
Saarinen;14052
Salminen;13852
Heikkilä;13748
Niemi;13726
Heinonen;13714
Kinnunen;13570
Salonen;13173
Turunen;12706
Salo;12540
Laitinen;12149
Rantanen;11937
Tuominen;11912
Karjalainen;11900
Mattila;11498
Jokinen;11453
Savolainen;10662
Lahtinen;10604
Ahonen;10557
Ojala;10432
Leppänen;10255
Kallio;9761
Leinonen;9676
Väisänen;9622
Hiltunen;9570
Pitkänen;9495
Miettinen;9484
Manninen;9406
Aaltonen;9401
Koivisto;9342
Hakala;9220
Anttila;9210
Laaksonen;8711
Lehto;8657
Hirvonen;8631
Räsänen;8579
Laakso;8509
Rantala;8466
Toivonen;8434
Aalto;8395
Mustonen;8338
Niemelä;8156
Moilanen;8049
Nurmi;8038
Peltonen;7986
Seppälä;7870
Pulkkinen;7808
Hänninen;7770
Saari;7769
Kettunen;7705
Lappalainen;7608
Koskela;7566
Partanen;7491
Kemppainen;7431
Seppänen;7429
Kauppinen;7410
Ahola;7408
Lahti;7311
Salmi;7296
Aho;7091
Ikonen;7062
Huttunen;7037
Suominen;6993
Halonen;6923
Pesonen;6907
Kärkkäinen;6849
Nyman;6791
Peltola;6722
Mikkonen;6717
Lindholm;6714
Koponen;6695
Niskanen;6685
Johansson;6674
Vainio;6655
Oksanen;6652
Heiskanen;6598
Mikkola;6588
Koski;6410
Honkanen;6403
Immonen;6327
Harju;6293
Nurminen;6256
Määttä;6254
Vuorinen;6240
Kokkonen;6177
Rissanen;6061
Karppinen;6053
Mäki;5928
Laukkanen;5918
Heino;5860
Juntunen;5850
Rajala;5831
Rautiainen;5776
Keränen;5772
Kangas;5766
Jääskeläinen;5695
Parviainen;5693
Paananen;5682
Hartikainen;5649
Mäenpää;5555
Leino;5549
Karlsson;5529
Lindström;5444
Ruotsalainen;5422
Uusitalo;5414
Hakkarainen;5340
Martikainen;5338
Kokko;5337
Hyvärinen;5335
Laurila;5329
Toivanen;5243
Nevalainen;5206
Tikkanen;5201
Viitanen;5180
Salmela;5162
Makkonen;4997
Leskinen;4981
Kuusisto;4966
Nykänen;4945
Hietala;4910
Holopainen;4888
Häkkinen;4859
Andersson;4856
Ranta;4839
Korpela;4814
Tamminen;4811
Eriksson;4801
Kukkonen;4774
Härkönen;4768
Karhu;4749
Karvonen;4690
Hyvönen;4677
Tiainen;4670
Pasanen;4649
Jokela;4636
Jaakkola;4633
Saarela;4547
Väänänen;4509
Sillanpää;4491
Rautio;4469
Kosonen;4465
Kujala;4465
Virta;4450
Malinen;4447
Autio;4388
Lindroos;4361
Kivelä;4352
Timonen;4293
Lindqvist;4265
Jussila;4248
Rinne;4229
Kolehmainen;4213
Huhtala;4210
Valtonen;4196
Hokkanen;4189
Lampinen;4185
Räisänen;4161
Tolonen;4135
Nissinen;4117
Eskelinen;4069
Nousiainen;4066
Koivula;4058
Vartiainen;3997
Lindberg;3979
Laakkonen;3976
Lepistö;3964
Asikainen;3947
Kuusela;3903
Koistinen;3864
Kyllönen;3863
Luoma;3859
Pelkonen;3793
Kulmala;3777
Hautala;3750
Liimatainen;3729
Tuovinen;3721
Tolvanen;3699
Pietilä;3697
Helenius;3678
Koivunen;3677
Huotari;3657
Voutilainen;3645
Viljanen;3642
Penttinen;3640
Pennanen;3624
Marttila;3606
Riikonen;3597
Järvenpää;3596
Hyttinen;3590
Repo;3590
